"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\backend\.env", "Properties", 0, 0, 5, 0, 0, 5
"c:\Users\rohin\Desktop\mailer\backend\config\db.js", "JavaScript", 10, 0, 0, 0, 0, 10
"c:\Users\rohin\Desktop\mailer\backend\controller\dashboard.js", "JavaScript", 21, 0, 0, 4, 1, 26
"c:\Users\rohin\Desktop\mailer\backend\controller\login.js", "JavaScript", 10, 0, 0, 0, 2, 12
"c:\Users\rohin\Desktop\mailer\backend\controller\notification.js", "JavaScript", 17, 0, 0, 0, 0, 17
"c:\Users\rohin\Desktop\mailer\backend\index.js", "JavaScript", 42, 0, 0, 1, 7, 50
"c:\Users\rohin\Desktop\mailer\backend\mailer.js", "JavaScript", 30, 0, 0, 1, 5, 36
"c:\Users\rohin\Desktop\mailer\backend\models\student.js", "JavaScript", 19, 0, 0, 0, 0, 19
"c:\Users\rohin\Desktop\mailer\backend\models\studentLogin.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\rohin\Desktop\mailer\backend\package-lock.json", "JSON", 0, 1393, 0, 0, 1, 1394
"c:\Users\rohin\Desktop\mailer\backend\package.json", "JSON", 0, 25, 0, 0, 1, 26
"c:\Users\rohin\Desktop\mailer\backend\routes\dashboard.js", "JavaScript", 9, 0, 0, 1, 2, 12
"c:\Users\rohin\Desktop\mailer\backend\routes\login.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\rohin\Desktop\mailer\backend\routes\notification.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\rohin\Desktop\mailer\backend\services\dashboard.js", "JavaScript", 152, 0, 0, 0, 12, 164
"c:\Users\rohin\Desktop\mailer\backend\services\login.js", "JavaScript", 51, 0, 0, 0, 5, 56
"c:\Users\rohin\Desktop\mailer\backend\services\notification.js", "JavaScript", 78, 0, 0, 1, 14, 93
"c:\Users\rohin\Desktop\mailer\backend\utils\generatePassword.js", "JavaScript", 8, 0, 0, 0, 1, 9
"c:\Users\rohin\Desktop\mailer\backend\utils\multerConfig.js", "JavaScript", 19, 0, 0, 2, 5, 26
"Total", "-", 495, 1418, 5, 10, 61, 1989
