"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "HTML", "PostCSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 6, 13
"c:\Users\rohin\Desktop\mailer\frontend\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\rohin\Desktop\mailer\frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\rohin\Desktop\mailer\frontend\package-lock.json", "JSON", 0, 0, 3097, 0, 0, 0, 0, 0, 1, 3098
"c:\Users\rohin\Desktop\mailer\frontend\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"c:\Users\rohin\Desktop\mailer\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rohin\Desktop\mailer\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\rohin\Desktop\mailer\frontend\src\App.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\CCPD.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\CCPD2.jsx", "JavaScript JSX", 73, 0, 0, 0, 0, 0, 0, 0, 8, 81
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard.css", "PostCSS", 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 0, 0, 1, 8, 56
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard2.css", "PostCSS", 0, 0, 0, 0, 158, 0, 0, 10, 27, 195
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard2.jsx", "JavaScript JSX", 122, 0, 0, 0, 0, 0, 0, 1, 19, 142
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Footer.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\HODDashboard.jsx", "JavaScript JSX", 94, 0, 0, 0, 0, 0, 0, 0, 14, 108
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Header.css", "PostCSS", 0, 0, 0, 0, 133, 0, 0, 0, 21, 154
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Header.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 8, 90
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Login.css", "PostCSS", 0, 0, 0, 0, 163, 0, 0, 7, 26, 196
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Login.jsx", "JavaScript JSX", 127, 0, 0, 0, 0, 0, 0, 2, 16, 145
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Main.css", "PostCSS", 0, 0, 0, 0, 69, 0, 0, 0, 10, 79
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Main.jsx", "JavaScript JSX", 131, 0, 0, 0, 0, 0, 0, 3, 30, 164
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Notification.css", "PostCSS", 0, 0, 0, 0, 174, 0, 0, 3, 31, 208
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Notification.jsx", "JavaScript JSX", 129, 0, 0, 0, 0, 0, 0, 2, 22, 153
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ProtectedRoute.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\SendIDPass.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support.css", "PostCSS", 0, 0, 0, 0, 60, 0, 0, 0, 6, 66
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 13, 96
"c:\Users\rohin\Desktop\mailer\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rohin\Desktop\mailer\frontend\src\main.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\rohin\Desktop\mailer\frontend\src\utils\getUserInfo.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rohin\Desktop\mailer\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1071, 44, 3134, 13, 801, 2, 7, 31, 311, 5414
