"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Properties", "PostCSS", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\backend\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\credentials.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\department.js", "JavaScript", 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\section.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\session.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\rohin\Desktop\mailer\backend\index.js", "JavaScript", 28, 0, 0, 0, 0, -1, 7, 34
"c:\Users\rohin\Desktop\mailer\backend\mailer.js", "JavaScript", 0, 0, 0, 0, 0, -1, 0, -1
"c:\Users\rohin\Desktop\mailer\backend\models\Messenger\Message.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\rohin\Desktop\mailer\backend\models\Messenger\User.js", "JavaScript", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\rohin\Desktop\mailer\backend\models\admin.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rohin\Desktop\mailer\backend\models\studentLogin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rohin\Desktop\mailer\backend\package-lock.json", "JSON", 0, 405, 0, 0, 0, 0, 0, 405
"c:\Users\rohin\Desktop\mailer\backend\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\rohin\Desktop\mailer\backend\routes\admin.js", "JavaScript", 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\rohin\Desktop\mailer\backend\routes\messenger\message.js", "JavaScript", 52, 0, 0, 0, 0, 6, 16, 74
