"filename", "language", "Markdown", "XML", "Properties", "JavaScript", "HTML", "JSON", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\backend\.env", "Properties", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\rohin\Desktop\mailer\backend\config\db.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\credentials.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\department.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\section.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\rohin\Desktop\mailer\backend\controller\admin\session.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\rohin\Desktop\mailer\backend\controller\dashboard.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 4, 1, 26
"c:\Users\rohin\Desktop\mailer\backend\controller\login.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\rohin\Desktop\mailer\backend\controller\notification.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\rohin\Desktop\mailer\backend\index.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 14, 84
"c:\Users\rohin\Desktop\mailer\backend\mailer.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\rohin\Desktop\mailer\backend\models\Messenger\Message.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\rohin\Desktop\mailer\backend\models\Messenger\User.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\rohin\Desktop\mailer\backend\models\admin.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\rohin\Desktop\mailer\backend\models\student.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\rohin\Desktop\mailer\backend\models\studentLogin.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\rohin\Desktop\mailer\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1798, 0, 0, 0, 1, 1799
"c:\Users\rohin\Desktop\mailer\backend\package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\rohin\Desktop\mailer\backend\routes\admin.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\rohin\Desktop\mailer\backend\routes\dashboard.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\rohin\Desktop\mailer\backend\routes\login.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\rohin\Desktop\mailer\backend\routes\messenger\message.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 6, 16, 74
"c:\Users\rohin\Desktop\mailer\backend\routes\messenger\user.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\rohin\Desktop\mailer\backend\routes\notification.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\rohin\Desktop\mailer\backend\services\admin\credentials.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 11, 98
"c:\Users\rohin\Desktop\mailer\backend\services\admin\department.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\Users\rohin\Desktop\mailer\backend\services\admin\section.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"c:\Users\rohin\Desktop\mailer\backend\services\admin\session.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"c:\Users\rohin\Desktop\mailer\backend\services\dashboard.js", "JavaScript", 0, 0, 0, 152, 0, 0, 0, 0, 0, 12, 164
"c:\Users\rohin\Desktop\mailer\backend\services\login.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\rohin\Desktop\mailer\backend\services\notification.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 12, 90
"c:\Users\rohin\Desktop\mailer\backend\utils\generatePassword.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\rohin\Desktop\mailer\backend\utils\multerConfig.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\rohin\Desktop\mailer\frontend\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\rohin\Desktop\mailer\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
